country,c_name,sector,s_name,fd
ARG,Argentina,A01_02,"Agriculture, hunting, forestry",HFCE
AUS,Australia,A03,Fishing and aquaculture,NPISH
AUT,Austria,B05_06,"Mining and quarrying, energy producing products",GGFC
BEL,Belgium,B07_08,"Mining and quarrying, non-energy producing products",GFCF
BGD,Bangladesh,B09,Mining support service activities,INVNT
BGR,Bulgaria,C10T12,"Food products, beverages and tobacco",DPABR
BLR,Belarus,C13T15,"Textiles, textile products, leather and footwear",
BRA,Brazil,C16,Wood and products of wood and cork,
BRN,Brunei Darussalam,C17_18,Paper products and printing,
CAN,Canada,C19,Coke and refined petroleum products,
CHE,Switzerland,C20,Chemical and chemical products,
CHL,Chile,C21,"Pharmaceuticals, medicinal chemical and botanical products",
CHN,China (People's Republic of),C22,Rubber and plastics products,
CIV,Côte d'Ivoire,C23,Other non-metallic mineral products,
CMR,Cameroon,C24,Basic metals,
COL,Colombia,C25,Fabricated metal products,
CRI,Costa Rica,C26,"Computer, electronic and optical equipment",
CYP,Cyprus (1),C27,Electrical equipment,
CZE,Czechia,C28,"Machinery and equipment, nec ",
DEU,Germany,C29,"Motor vehicles, trailers and semi-trailers",
DNK,Denmark,C30,Other transport equipment,
EGY,Egypt,C31T33,Manufacturing nec; repair and installation of machinery and equipment,
ESP,Spain,D,"Electricity, gas, steam and air conditioning supply",
EST,Estonia,E,"Water supply; sewerage, waste management and remediation activities",
FIN,Finland,F,Construction,
FRA,France,G,Wholesale and retail trade; repair of motor vehicles,
GBR,United Kingdom,H49,Land transport and transport via pipelines,
GRC,Greece,H50,Water transport,
HKG,"Hong Kong, China",H51,Air transport,
HRV,Croatia,H52,Warehousing and support activities for transportation,
HUN,Hungary,H53,Postal and courier activities,
IDN,Indonesia,I,Accommodation and food service activities,
IND,India,J58T60,"Publishing, audiovisual and broadcasting activities",
IRL,Ireland,J61,Telecommunications,
ISL,Iceland,J62_63,IT and other information services,
ISR,Israel (2),K,Financial and insurance activities,
ITA,Italy,L,Real estate activities,
JOR,Jordan,M,"Professional, scientific and technical activities",
JPN,Japan,N,Administrative and support services,
KAZ,Kazakhstan,O,Public administration and defence; compulsory social security,
KHM,Cambodia,P,Education,
KOR,Korea,Q,Human health and social work activities,
LAO,Lao (People's Democratic Republic),R,"Arts, entertainment and recreation",
LTU,Lithuania,S,Other service activities,
LUX,Luxembourg,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,
LVA,Latvia,,,
MAR,Morocco,,,
MEX,Mexico,,,
MLT,Malta,,,
MMR,Myanmar,,,
MYS,Malaysia,,,
NGA,Nigeria,,,
NLD,Netherlands,,,
NOR,Norway,,,
NZL,New Zealand,,,
PAK,Pakistan,,,
PER,Peru,,,
PHL,Philippines,,,
POL,Poland,,,
PRT,Portugal,,,
ROU,Romania,,,
RUS,Russian Federation,,,
SAU,Saudi Arabia,,,
SEN,Senegal,,,
SGP,Singapore,,,
SVK,Slovakia,,,
SVN,Slovenia,,,
SWE,Sweden,,,
THA,Thailand,,,
TUN,Tunisia,,,
TUR,Türkiye,,,
TWN,Chinese Taipei,,,
UKR,Ukraine,,,
USA,United States,,,
VNM,Viet Nam,,,
ZAF,South Africa,,,
ROW,Rest of the World,,,
